10.1017/s1472928802000304,,,,,"… for emotions and memory II. Afferent input to the anterior thalamic nuclei from prefrontal, temporal, hypothalamic areas and the basal ganglia in the rhesus monkey",,
10.1002/cne.903090302,1918440,,,,Dual mode of corticothalamic synaptic termination in the mediodorsal nucleus of the rhesus monkey,,
10.1152/jn.00969.2003,15306630,,,,Comparison of oculomotor neuronal activity in paralaminar and mediodorsal thalamus in the rhesus monkey,,
10.1002/cne.24389,29322527,,,,Thalamo‐cortical projections to the macaque superior parietal lobule areas PEc and PE,,
10.1002/(sici)1096-9861(19970317)379:3<313::aid-cne1>3.0.co;2-6,,,,,Topographic organization of medial pulvinar connections with the prefrontal cortex in the rhesus monkey,,
10.1002/cne.902990104,1698838,,,,Thalamic projections to sensorimotor cortex in the newborn macaque,,
10.1111/ejn.12389,24134130,PMC4112842,,,"The origin of projections from the posterior cingulate and retrosplenial cortices to the anterior, medial dorsal and laterodorsal thalamic nuclei of macaque monkeys",,
10.1002/cne.903570110,7673471,,,,Spatial distribution of thalamic projections to the supplementary motor area and the primary motor cortex: a retrograde multiple labeling study in the macaque monkey,,
10.1016/j.conb.2009.05.007,19556121,PMC3140205,,,Gain control in the visual thalamus during perception and cognition,,
10.1177/2398212819871205,31588413,PMC6712910,,,"Trajectory of hippocampal fibres to the contralateral anterior thalamus and mammillary bodies in rats, mice, and macaque monkeys",,
10.1038/s41598-017-10679-2,28871156,PMC5583363,,,Late-onset hypersensitivity after a lesion in the ventral posterolateral nucleus of the thalamus: a macaque model of central post-stroke pain,,
10.1016/s0306-4522(97)00634-9,9607711,,,,Expression of 10 GABAA receptor subunit messenger RNAs in the motor-related thalamic nuclei and basal ganglia of Macaca mulatta studied with in situ …,,
,,,,,On the thalamo-cortical connexions of the general sensory cortex of Macaca,,
10.1002/cne.21674,18322920,,,,Retrograde analysis of the cerebellar projections to the posteroventral part of the ventral lateral thalamic nucleus in the macaque monkey,,
10.1016/s0028-3908(99)00130-6,10587083,,,,Distribution of GABAB binding sites in the thalamus and basal ganglia of the rhesus monkey (Macaca mulatta),,
10.1007/s00429-015-0990-2,25633471,,,,Thalamic projections to visual and visuomotor areas (V6 and V6A) in the Rostral Bank of the parieto-occipital sulcus of the Macaque,,
10.1017/s1472928802000316,,,,,Pathways for emotions and memory I. Input and output zones linking the anterior thalamic nuclei with prefrontal cortices in the rhesus monkey,,
10.1002/(sici)1096-9861(19971006)386:4<573::aid-cne5>3.0.co;2-%23,,,,,Pallidal afferent territory of the Macaca mulatta thalamus: Neuronal and synaptic organization of the VAdc,,
10.1002/cne.902940313,2341621,,,,Fine structure of the magnocellular subdivision of the ventral anterior thalamic nucleus (V Amc) of Macaca mulatta: I. Cell types and synaptology,,
10.1159/000315942,,,,,On the Organisation of the Visual Cortical Projection to the Pulvinar in Macaca mulatta (Part 2 of 2),,
10.1007/s002210050584,9870599,,,,"Microstimulation of movements from cerebellar-receiving, but not pallidal-receiving areas of the macaque thalamus under ketamine anaesthesia",,
10.1007/bf00230949,1385203,,,,Pallidal inputs to thalamocortical neurons projecting to the supplementary motor area: an anterograde and retrograde double labeling study in the macaque monkey,,
10.1016/s0304-3940(01)02018-3,11489539,,,,Cerebello–thalamo–cortical projections to the posterior parietal cortex in the macaque monkey,,
10.1002/(sici)1096-9861(20000605)421:3<412::aid-cne9>3.0.co;2-z,,,,,Thalamic terminal fields of individual axons from the ventral part of the dentate nucleus of the cerebellum in Macaca mulatta,,
10.1159/000100589,7685538,,,,"Cortical Connections of the Motor Thalamic Nuclei in the Japanese Monkey, Macaca fuscata",,
10.1111/j.1460-9568.2010.07390.x,20846328,,,,Thalamic projections to the macaque caudal ventrolateral prefrontal areas 45A and 45B,,
10.1016/s0361-9230(02)00857-2,12379444,,,,Posterior parietal cortex projections to the ventral lateral and some association thalamic nuclei in Macaca mulatta,,
10.1016/0006-8993(80)90279-6,6768425,,,,Cortical and subcortical afferents to the amygdala of the rhesus monkey (Macaca mulatta),,
10.1016/s0306-4522(01)00021-5,11301210,,,,Dopamine transporter-immunoreactive axons in the mediodorsal thalamic nucleus of the macaque monkey,,
10.1002/cne.21513,18022943,,,,Striatal projections of the vagal‐responsive region of the thalamic parafascicular nucleus in macaque monkeys,,
10.1002/(sici)1096-9861(19980629)396:2<169::aid-cne3>3.0.co;2-z,9634140,,,,"Dual morphology and topography of the corticothalamic terminals originating from the primary, supplementary motor, and dorsal premotor cortical areas in macaque …",,
10.1002/cne.24134,27778378,PMC5841538,,,"Morphology of visual sector thalamic reticular neurons in the macaque monkey suggests retinotopically specialized, parallel stream‐mixed input to the lateral …",,
10.1016/0306-4522(94)90536-3,7891852,,,,The organization of the basal ganglia-thalamocortical circuits: open interconnected rather than closed segregated,,
