10.1007/s00259-022-05825-6,35633376,PMC9826644,Imaging the fetal nonhuman primate brain with SV2A positron emission tomography (PET).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9826644/,PMC,,
10.1016/j.neuroimage.2021.117996,33794360,,The Subcortical Atlas of the Rhesus Macaque (SARM) for neuroimaging.,https://linkinghub.elsevier.com/retrieve/pii/S1053-8119(21)00273-1,Elsevier Science,,
10.1590/0074-02760220239,36700583,PMC9870265,Animal models and SARS-CoV-2-induced pulmonary and neurological injuries.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9870265/,PMC,,
10.1007/s00702-021-02299-y,33486625,PMC8099808,Contemporary functional neuroanatomy and pathophysiology of dystonia.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8099808/,PMC,,
10.3389/fnins.2022.1076374,36590301,PMC9797816,Rostro-caudal networks for sound processing in the primate brain.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9797816/,PMC,,
10.1016/j.conb.2020.08.002,32942125,PMC7770054,Dynamic pulvino-cortical interactions in the primate attention network.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7770054/,PMC,,
10.31083/j.jin.2021.01.334,33834704,,The superior parietal lobule of primates: a sensory-motor hub for interaction with the environment.,https://www.imrpress.com/journal/JIN/20/1/10.31083/j.jin.2021.01.334,IMR Press,,
10.1038/s41467-022-30348-x,35551186,PMC9098492,Sensory adaptation mediates efficient and unambiguous encoding of natural stimuli by vestibular thalamocortical pathways.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9098492/,PMC,,
10.3390/brainsci13010060,36672042,PMC9857118,Water Drinking Behavior Associated with Aversive Arousal in Rats: An Integrative Approach.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9857118/,PMC,,
10.1038/s41598-021-03063-8,34880350,PMC8654920,PET imaging of brain aromatase in humans and rhesus monkeys by <sup>11</sup>C-labeled cetrozole analogs.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8654920/,PMC,,
10.1111/ejn.15443,34486754,PMC9293152,Scalp-recorded N40 visual evoked potential: Sensory and attentional properties.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9293152/,PMC,,
10.1007/s00429-020-02086-7,32458050,PMC7286872,Dorsal prefrontal and premotor cortex of the ferret as defined by distinctive patterns of thalamo-cortical projections.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7286872/,PMC,,
10.1073/pnas.2205881119,36018837,PMC9436336,Single-neuron bursts encode pathological oscillations in subcortical nuclei of patients with Parkinson's disease and essential tremor.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9436336/,PMC,,
10.1038/s41598-021-02270-7,34845232,PMC8630225,Selective activation of central thalamic fiber pathway facilitates behavioral performance in healthy non-human primates.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8630225/,PMC,,
10.3389/fnsys.2023.1169918,37325439,PMC10264645,Phylogenic evolution of beat perception and synchronization: a comparative neuroscience perspective.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10264645/,PMC,,
10.1002/cne.24910,32220012,PMC7496627,Immunohistochemical distribution of 10 GABA<sub>A</sub> receptor subunits in the forebrain of the rhesus monkey Macaca mulatta.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7496627/,PMC,,
10.3390/brainsci12020242,35204005,PMC8870550,Tics and Emotions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8870550/,PMC,,
10.1016/j.xpro.2023.102296,37294630,PMC10323126,Studying neural responses for multi-component economic choices in human and non-human primates using concept-based behavioral choice experiments.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10323126/,PMC,,
10.1038/s41467-019-13173-7,31727882,PMC6856176,A thalamocortical pathway for fast rerouting of tactile information to occipital cortex in congenital blindness.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6856176/,PMC,,
10.1016/j.brs.2022.12.003,36496128,PMC9806861,Differential dose responses of transcranial focused ultrasound at brain regions indicate causal interactions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9806861/,PMC,,
10.7554/elife.64875,34473054,PMC8412930,"Single-cell and single-nucleus RNA-seq uncovers shared and distinct axes of variation in dorsal LGN neurons in mice, non-human primates, and humans.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8412930/,PMC,,
10.1126/sciadv.adf4888,37075119,PMC10115413,BBB opening with focused ultrasound in nonhuman primates and Parkinson's disease patients: Targeted AAV vector delivery and PET imaging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10115413/,PMC,,
10.1016/j.celrep.2022.111438,36170812,PMC9552773,Cortical mechanisms of visual brightness.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9552773/,PMC,,
10.24272/j.issn.2095-8137.2022.138,35726585,PMC9336455,Mapping big brains at subcellular resolution in the era of big data in zoology.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9336455/,PMC,,
