INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK	MACAQUE_COUNT_IN_500	OTHER_SPIECIES_COUNT_IN_500	TC_CT_COUNT_IN_500	THALAM_COUNT_IN_500	CORTEX_COUNT_IN_500	INJECT_COUNT_IN_500	METHOD_COUNT_IN_500	CONNECT_COUNT_IN_500	MACAQUE_COUNT_IN_FULL_TEXT	OTHER_SPIECIES_COUNT_IN_FULL_TEXT	TC_CT_COUNT_IN_FULL_TEXT	THALAM_COUNT_IN_FULL_TEXT	CORTEX_COUNT_IN_FULL_TEXT	INJECT_COUNT_IN_FULL_TEXT	METHOD_COUNT_IN_FULL_TEXT	CONNECT_COUNT_IN_FULL_TEXT	RELEVANCE_INDEX_TAK	RELEVANCE_INDEX_500	RELEVANCE_INDEX_FULL_TEXT
3073	8.0	0.0	2.0	9.0	11.0	0.0	0.0	2.0	4.0	2.0	1.0	6.0	11.0	0.0	0.0	2.0	9.0	2.0	1.0	9.0	14.0	0.0	0.0	4.0	90.38099861228595	68.6025302438371	82.77059736422488
3075	0.0	0.0	0.0	8.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	5.0	1.0	0.0	1.0	0.0	2.0	3.0	0.0	7.0	1.0	0.0	1.0	0.0	32.95836866004329	26.928508039559837	39.40515728963885
3076	0.0	0.0	4.0	18.0	9.0	0.0	0.0	0.0	0.0	3.0	2.0	13.0	9.0	0.0	0.0	2.0	6.0	31.0	12.0	141.0	164.0	0.0	0.0	46.0	81.19326306748715	68.08927869892632	170.99009957555788
3078	0.0	0.0	0.0	12.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	10.0	1.0	0.0	0.0	2.0	7.0	12.0	1.0	130.0	17.0	0.0	8.0	80.0	29.11522947741509	32.93775007412398	140.14151978409066
3079	0.0	0.0	0.0	3.0	10.0	0.0	4.0	4.0	1.0	0.0	0.0	2.0	10.0	0.0	2.0	5.0	3.0	2.0	0.0	7.0	20.0	0.0	2.0	12.0	49.99398866170226	49.851991289093775	71.49361631326694
3080	0.0	0.0	0.0	66.0	0.0	0.0	0.0	13.0	0.0	3.0	0.0	15.0	2.0	0.0	0.0	5.0	1.0	10.0	0.0	23.0	2.0	0.0	0.0	7.0	55.242212841985946	39.40515728963885	49.806488715221896
3081	10.0	0.0	0.0	4.0	7.0	3.0	0.0	2.0	7.0	4.0	0.0	5.0	4.0	1.0	0.0	1.0	37.0	21.0	2.0	18.0	16.0	18.0	2.0	34.0	83.68948822646226	60.86900336037985	188.9211831966524
3082	5.0	0.0	0.0	11.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	10.0	2.0	0.0	0.0	3.0	14.0	15.0	0.0	35.0	5.0	0.0	2.0	27.0	48.2597226335011	41.94866342140327	93.97645673480102
3083	3.0	9.0	0.0	20.0	0.0	0.0	0.0	11.0	2.0	5.0	0.0	14.0	0.0	0.0	0.0	8.0	6.0	44.0	0.0	64.0	0.0	0.0	3.0	32.0	52.12753105138504	45.469228845928185	84.93513062850016
3084	2.0	2.0	0.0	13.0	2.0	0.0	0.0	2.0	1.0	4.0	0.0	6.0	2.0	0.0	0.0	2.0	7.0	30.0	0.0	79.0	39.0	1.0	1.0	32.0	46.16559449217856	34.157820357965484	114.46805784926732
3085	14.0	0.0	0.0	14.0	9.0	0.0	0.0	5.0	4.0	0.0	1.0	8.0	4.0	0.0	0.0	8.0	23.0	6.0	1.0	41.0	35.0	1.0	6.0	52.0	74.6327268331547	74.42861686055343	153.68519306399432
3086	4.0	3.0	0.0	8.0	0.0	0.0	0.0	3.0	4.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	28.0	60.0	0.0	62.0	7.0	1.0	2.0	27.0	42.22550798106287	23.188681712911475	118.78985459258865
3087	5.0	0.0	0.0	27.0	13.0	0.0	0.0	0.0	2.0	0.0	0.0	10.0	4.0	0.0	0.0	2.0	11.0	21.0	0.0	50.0	41.0	0.0	1.0	20.0	64.43492644210887	48.50532662017586	98.82767000404004
3088	0.0	0.0	0.0	5.0	0.0	0.0	7.0	9.0	7.0	3.0	0.0	5.0	0.0	0.0	4.0	3.0	15.0	17.0	0.0	10.0	1.0	0.0	8.0	13.0	50.224935574049134	58.96527231677958	84.5573647588274
3089	3.0	0.0	0.0	0.0	15.0	0.0	15.0	27.0	1.0	0.0	0.0	0.0	14.0	0.0	9.0	20.0	32.0	15.0	0.0	65.0	423.0	129.0	177.0	293.0	72.11279699567164	58.72018592966808	279.15153621533517
3090	6.0	0.0	0.0	3.0	0.0	0.0	7.0	14.0	2.0	5.0	0.0	6.0	0.0	0.0	8.0	7.0	3.0	12.0	0.0	12.0	1.0	0.0	10.0	9.0	67.65671152406145	59.2311589205395	73.34015256664486
3091	2.0	0.0	0.0	4.0	0.0	2.0	12.0	29.0	1.0	0.0	0.0	2.0	0.0	1.0	6.0	27.0	7.0	24.0	0.0	24.0	0.0	13.0	36.0	242.0	91.70822826731043	67.90066234490861	162.9010549511941
3092	5.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	23.0	15.0	0.0	64.0	25.0	0.0	2.0	35.0	37.37669618283368	34.657359027997266	113.17343382702532
3093	0.0	0.0	0.0	4.0	12.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	12.0	0.0	0.0	0.0	9.0	14.0	0.0	17.0	94.0	0.0	1.0	4.0	28.919125911648685	27.532831550528797	84.26151393247035
3094	0.0	10.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	80.0	9.0	59.0	43.0	0.0	4.0	40.0	0.6972708977438078	-0.11778303565638337	161.21995695746168
3095	10.0	0.0	0.0	16.0	16.0	0.0	0.0	22.0	2.0	2.0	0.0	5.0	11.0	0.0	1.0	13.0	6.0	15.0	0.0	24.0	106.0	0.0	2.0	48.0	82.15462396847269	59.25778470424117	99.91205084429933
3096	0.0	0.0	0.0	13.0	0.0	0.0	0.0	10.0	1.0	0.0	0.0	7.0	0.0	0.0	1.0	6.0	5.0	6.0	0.0	42.0	1.0	0.0	14.0	71.0	38.38004966014444	44.38690977327383	103.56734406000766
3097	0.0	9.0	3.0	5.0	8.0	0.0	0.0	5.0	0.0	3.0	1.0	2.0	7.0	0.0	0.0	2.0	6.0	60.0	2.0	30.0	94.0	8.0	4.0	49.0	67.91470376711109	41.43248283017968	175.41090317996955
3098	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0																	17.91759469228055	0.0	0.0
3099	3.0	0.0	0.0	13.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0									47.18498871295094	0.0	0.0
3100	8.0	0.0	0.0	5.0	0.0	0.0	0.0	17.0	3.0	1.0	0.0	4.0	1.0	0.0	0.0	10.0	27.0	13.0	0.0	46.0	9.0	0.0	2.0	104.0	54.34169925512357	44.0262406412116	112.31425656206108
3101	0.0	0.0	0.0	8.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	4.0	1.0	0.0	0.0	1.0	4.0	16.0	0.0	29.0	4.0	0.0	0.0	12.0	27.465307216702747	21.639556568820563	65.31186260232832
3102	3.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	3.0	0.0	0.0	0.0	1.0	21.0	3.0	0.0	25.0	3.0	0.0	2.0	8.0	31.780538303479453	26.92850803955984	89.62251877051986
3103	6.0	0.0	0.0	16.0	3.0	0.0	0.0	20.0	3.0	0.0	0.0	12.0	3.0	0.0	1.0	12.0	26.0	9.0	0.0	129.0	112.0	5.0	27.0	165.0	69.94531892533186	66.20012758432085	195.38265550026858
3104	0.0	1.0	0.0	0.0	0.0	3.0	12.0	14.0	0.0	2.0	0.0	1.0	0.0	2.0	8.0	11.0	10.0	15.0	0.0	13.0	9.0	22.0	78.0	111.0	65.52933744140434	61.10327202392763	186.33413124435563
3105	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	5.0	3.0	23.0	3.0	43.0	98.0	0.0	2.0	61.0	13.54025100551105	22.82174095733918	134.6034853802624
3106	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	16.0	24.0	0.0	1.0	16.0	16.094379124341003	13.862943611198906	77.18977012464637
3107	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	28.0	0.0	15.0	7.0	8.0	0.0	4.0	8.788898309344878	4.158883083359672	107.35913710770265
3108	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	11.0	0.0	0.0	1.0	2.0	4.0	10.0	0.0	35.0	1.0	3.0	10.0	15.0	33.67295829986474	44.20507155241946	116.16729742768551
