INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK	NOT_TT	NOT_MACAQUE_BUT_OTHERS	RELEVANCE_INDEX
8820	0.0	3.0	0.0	0.0	4.0	0.0	0.0	6.0	Y	Y	2.7506291052723637
6719	0.0	3.0	0.0	0.0	4.0	0.0	0.0	6.0	Y	Y	2.7506291052723637
8812	0.0	8.0	0.0	0.0	4.0	0.0	0.0	6.0		Y	2.7506291052723637
4351	2.0	6.0	0.0	0.0	0.0	0.0	0.0	8.0	Y		2.746530721670275
6079	0.0	6.0	0.0	0.0	2.0	0.0	0.0	8.0	Y	Y	2.746530721670275
5036	0.0	7.0	0.0	0.0	2.0	0.0	0.0	8.0	Y	Y	2.746530721670275
5123	0.0	13.0	0.0	0.0	0.0	0.0	2.0	2.0		Y	2.7465307216702746
8375	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	Y	Y	2.7465307216702746
2188	0.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0		Y	2.7465307216702746
5142	0.0	12.0	0.0	0.0	0.0	2.0	2.0	0.0		Y	2.7465307216702746
4858	8.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	Y		2.7465307216702746
10704	0.0	2.0	0.0	0.0	8.0	0.0	2.0	0.0	Y	Y	2.7465307216702746
6201	0.0	18.0	0.0	2.0	0.0	0.0	0.0	0.0	Y	Y	2.7465307216702746
9101	0.0	9.0	0.0	2.0	0.0	0.0	0.0	0.0	Y		2.7465307216702746
5109	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0		Y	2.7465307216702746
4749	0.0	9.0	0.0	2.0	0.0	0.0	0.0	0.0		Y	2.7465307216702746
4834	0.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	Y		2.7465307216702746
4895	0.0	7.0	0.0	2.0	0.0	0.0	0.0	0.0		Y	2.7465307216702746
6993	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0		Y	2.7465307216702746
2209	0.0	7.0	0.0	2.0	0.0	0.0	0.0	0.0	Y	Y	2.7465307216702746
5080	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	Y		2.7465307216702746
8483	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	Y		2.7465307216702746
9088	0.0	6.0	0.0	0.0	0.0	2.0	2.0	0.0		Y	2.7465307216702746
5552	0.0	16.0	0.0	0.0	0.0	0.0	2.0	2.0	Y	Y	2.7465307216702746
1992	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	Y	Y	2.7465307216702746
