INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK
10246	4	0	0	0	5	0	0	0
10247	NA	NA	NA	NA	NA	NA	NA	NA
10248	0	0	0	0	2	0	0	2
10249	0	6	0	0	1	0	0	0
10250	NA	NA	NA	NA	NA	NA	NA	NA
10251	0	4	0	0	4	0	0	0
10252	NA	NA	NA	NA	NA	NA	NA	NA
10253	0	0	0	0	0	0	0	2
10254	6	0	0	0	0	0	0	6
10255	2	0	0	0	23	0	0	3
10256	0	6	0	0	18	0	0	0
10257	0	6	0	0	0	0	0	3
10258	NA	NA	NA	NA	NA	NA	NA	NA
10259	NA	NA	NA	NA	NA	NA	NA	NA
10260	0	1	0	2	2	0	0	2
10261	0	5	0	10	2	2	3	0
10262	NA	NA	NA	NA	NA	NA	NA	NA
10263	0	9	0	0	14	0	0	2
10264	NA	NA	NA	NA	NA	NA	NA	NA
10265	NA	NA	NA	NA	NA	NA	NA	NA
10266	2	4	0	0	0	0	0	14
10267	0	0	0	0	0	4	12	11
10268	0	8	0	0	0	0	0	0
10269	0	0	0	0	9	0	0	11
10270	0	0	0	0	0	0	0	0
10271	0	1	0	2	6	0	0	1
10272	0	15	0	0	6	0	0	0
10273	0	0	0	0	8	0	0	0
10274	NA	NA	NA	NA	NA	NA	NA	NA
10275	NA	NA	NA	NA	NA	NA	NA	NA
10276	NA	NA	NA	NA	NA	NA	NA	NA
10277	0	6	0	0	0	0	0	0
10278	NA	NA	NA	NA	NA	NA	NA	NA
10279	NA	NA	NA	NA	NA	NA	NA	NA
10280	0	8	0	0	0	0	0	6
10281	0	3	0	0	0	0	0	3
10282	NA	NA	NA	NA	NA	NA	NA	NA
10283	NA	NA	NA	NA	NA	NA	NA	NA
10284	0	2	0	0	0	0	0	0
10285	0	0	0	0	5	0	0	0
10286	0	10	0	0	0	0	0	0
10287	0	2	0	0	4	0	0	4
10288	NA	NA	NA	NA	NA	NA	NA	NA
10289	NA	NA	NA	NA	NA	NA	NA	NA
10290	0	9	0	2	16	0	0	12
10291	0	0	0	0	0	0	0	6
10292	0	0	0	0	0	0	0	0
10293	0	8	0	0	0	0	2	0
10294	0	48	0	0	12	0	0	0
10295	8	0	0	0	19	0	0	12
10296	6	0	0	0	0	0	0	8
10297	2	0	0	0	4	0	0	0
10298	0	0	0	0	0	0	0	0
10299	0	0	0	0	5	0	0	0
10300	0	11	0	0	11	0	0	9
10301	0	0	0	0	0	0	0	0
10302	0	0	0	0	20	0	0	4
10303	0	15	0	0	9	0	0	0
10304	0	0	0	0	2	0	0	6
10305	0	4	0	0	0	0	0	8
10306	0	0	0	0	2	0	0	0
10307	NA	NA	NA	NA	NA	NA	NA	NA
10308	0	7	0	0	2	0	6	0
10309	0	3	0	0	0	0	0	0
10310	4	0	0	0	0	0	0	0
10311	0	6	0	9	3	0	0	12
10312	0	0	0	0	6	0	0	0
10313	0	8	0	0	15	0	0	0
10314	0	3	0	4	11	0	0	0
10315	NA	NA	NA	NA	NA	NA	NA	NA
10316	NA	NA	NA	NA	NA	NA	NA	NA
10317	0	6	0	0	0	0	7	0
10318	10	0	0	0	0	0	0	2
10319	0	0	0	0	0	2	0	0
10320	0	0	0	0	2	0	0	2
10321	0	6	0	2	4	0	0	1
10322	0	5	0	0	0	0	0	0
10323	NA	NA	NA	NA	NA	NA	NA	NA
10324	0	3	0	0	5	0	0	0
10325	0	17	0	0	0	0	0	0
10326	NA	NA	NA	NA	NA	NA	NA	NA
10327	0	2	0	0	20	0	0	0
10328	0	19	0	0	14	0	0	0
10329	0	16	0	0	0	0	0	0
10330	2	0	0	0	10	0	0	0
10331	NA	NA	NA	NA	NA	NA	NA	NA
10332	3	1	0	0	6	0	0	0
10333	0	0	0	0	0	0	0	0
10334	0	3	0	0	0	0	0	0
10335	0	0	0	0	0	0	9	0
10336	0	3	0	3	0	0	0	0
10337	0	2	0	0	4	0	0	0
10338	0	12	0	0	0	0	0	0
10339	0	4	0	0	6	0	0	0
10340	0	15	0	0	0	0	0	0
10341	NA	NA	NA	NA	NA	NA	NA	NA
10342	NA	NA	NA	NA	NA	NA	NA	NA
10343	NA	NA	NA	NA	NA	NA	NA	NA
10344	1	0	0	0	1	0	0	0
10345	NA	NA	NA	NA	NA	NA	NA	NA
10346	0	20	0	2	0	0	0	2
10347	0	0	0	0	0	0	0	0
10348	NA	NA	NA	NA	NA	NA	NA	NA
10349	NA	NA	NA	NA	NA	NA	NA	NA
10350	0	6	0	2	2	2	0	0
10351	NA	NA	NA	NA	NA	NA	NA	NA
10352	0	11	0	0	0	0	0	0
10353	0	2	0	0	0	0	0	0
10354	0	0	0	0	0	0	0	0
10355	0	6	0	0	0	0	0	0
10356	NA	NA	NA	NA	NA	NA	NA	NA
10357	NA	NA	NA	NA	NA	NA	NA	NA
10358	NA	NA	NA	NA	NA	NA	NA	NA
10359	0	2	0	0	0	0	0	0
10360	NA	NA	NA	NA	NA	NA	NA	NA
10361	0	0	0	0	0	0	0	0
10362	0	0	0	0	7	0	0	6
10363	0	8	0	0	0	0	0	0
10364	2	0	0	0	22	0	0	2
10365	3	0	0	0	14	0	0	2
10366	0	0	0	0	10	0	0	12
10367	0	0	0	0	17	4	13	4
10368	10	0	0	2	6	0	0	8
10369	0	0	0	0	0	0	0	0
10370	0	3	0	14	0	0	0	0
