INDEX	MACAQUE_COUNT_IN_TA	OTHER_SPIECIES_COUNT_IN_TA	TC_CT_COUNT_IN_TA	THALAM_COUNT_IN_TA	CORTEX_COUNT_IN_TA	INJECT_COUNT_IN_TA	METHOD_COUNT_IN_TA	CONNECT_COUNT_IN_TA	NOT_TT	NOT_MACAQUE_BUT_OTHERS	RELEVANCE_INDEX
213	3.0	20.0	0.0	14.0	3.0	0.0	11.0	0.0	Y		11.883779838557416
214	0.0	2.0	0.0	29.0	6.0	0.0	0.0	7.0	Y	Y	11.555390070362883
215	3.0	0.0	0.0	33.0	0.0	0.0	0.0	2.0			106.0766078076846
216	6.0	0.0	0.0	27.0	3.0	0.0	0.0	23.0	Y		13.174667360873556
217	4.0	3.0	0.0	2.0	0.0	0.0	0.0	17.0	Y		6.441621435783489
218	2.0	0.0	4.0	38.0	14.0	4.0	3.0	13.0			238.2792379367487
219	6.0	6.0	0.0	10.0	0.0	0.0	1.0	0.0			80.07414027363501
220	0.0	0.0	4.0	27.0	12.0	0.0	2.0	21.0	Y		20.78969849026566
221	3.0	0.0	0.0	3.0	20.0	0.0	0.0	18.0	Y		8.625583281387824
222	5.0	0.0	1.0	6.0	14.0	7.0	14.0	12.0			185.93735130837885
223	4.0	0.0	0.0	35.0	0.0	0.0	25.0	13.0			172.89718439004807
224	10.0	0.0	0.0	6.0	16.0	0.0	0.0	0.0			74.80329681065577
225	0.0	0.0	0.0	36.0	19.0	0.0	0.0	6.0			124.7107106744287
226	2.0	0.0	0.0	1.0	2.0	5.0	24.0	12.0			120.16502804059866
227	0.0	3.0	0.0	15.0	12.0	0.0	0.0	0.0			82.13946484330222
228	4.0	0.0	4.0	26.0	0.0	4.0	11.0	21.0			239.0990311143869
229	4.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0			56.69494328855333
230	9.0	0.0	0.0	4.0	14.0	5.0	10.0	23.0			150.95568636906935
231	3.0	0.0	2.0	15.0	0.0	0.0	0.0	32.0	Y		15.51557570229832
232	2.0	0.0	6.0	30.0	8.0	2.0	4.0	29.0			249.30493579417697
233	0.0	0.0	0.0	35.0	0.0	0.0	0.0	31.0			124.24533248940003
234	9.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0			95.69532121463209
235	4.0	0.0	0.0	15.0	12.0	2.0	14.0	19.0			171.7508530442269
236	14.0	0.0	0.0	21.0	20.0	7.0	14.0	19.0			197.4114156969575
237	6.0	0.0	0.0	4.0	18.0	0.0	0.0	18.0			94.13208324362569
239	4.0	2.0	1.0	3.0	11.0	0.0	1.0	2.0			104.23829965658587
240	6.0	0.0	3.0	3.0	27.0	0.0	0.0	5.0	Y		13.441730146122604
241	0.0	0.0	0.0	27.0	0.0	0.0	0.0	16.0			111.63724619494225
