INDEX	MACAQUE_COUNT_IN_TAK	OTHER_SPIECIES_COUNT_IN_TAK	TC_CT_COUNT_IN_TAK	THALAM_COUNT_IN_TAK	CORTEX_COUNT_IN_TAK	INJECT_COUNT_IN_TAK	METHOD_COUNT_IN_TAK	CONNECT_COUNT_IN_TAK	MACAQUE_COUNT_IN_500	OTHER_SPIECIES_COUNT_IN_500	TC_CT_COUNT_IN_500	THALAM_COUNT_IN_500	CORTEX_COUNT_IN_500	INJECT_COUNT_IN_500	METHOD_COUNT_IN_500	CONNECT_COUNT_IN_500	MACAQUE_COUNT_IN_FULL_TEXT	OTHER_SPIECIES_COUNT_IN_FULL_TEXT	TC_CT_COUNT_IN_FULL_TEXT	THALAM_COUNT_IN_FULL_TEXT	CORTEX_COUNT_IN_FULL_TEXT	INJECT_COUNT_IN_FULL_TEXT	METHOD_COUNT_IN_FULL_TEXT	CONNECT_COUNT_IN_FULL_TEXT	RELEVANCE_INDEX
10446	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	9.0	0.0	0.0	0.0	14.0	11.0	0.0	1.0	76.0	1.0	2.0	14.0	11.989476363991853
10447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	11.0	411.0	0.0	48.0	214.0	24.0	57.0	303.0	0.0
10448	0.0	45.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	9.0	2.0	0.0	0.0	2.0	1.0	49.0	0.0	92.0	25.0	0.0	5.0	54.0	57.42962094733643
10449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	10.0	0.0	9.0	0.0	0.0
10450	0.0	8.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	47.0	0.0	2.0	8.0	0.0	24.0	2.0	13.155445799830407
10451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	3.0	0.0	2.0	0.0	21.0	26.0	0.0	6.0	69.0	0.0	15.0	60.0	0.0
10452	0.0	0.0	0.0	5.0	0.0	5.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	4.0	1.0	2.0	1.0	27.0	0.0	30.0	0.0	46.0	16.0	37.0	69.64305322858138
10453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	4.0	9.0	8.0	0.0	28.0	18.0	0.0	0.0	32.0	18.05458956322112
10454	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	4.0	1.0	1.0	48.0	0.0	16.0	0.0	0.0	23.0	5.0	-16.479184330021646
10455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	7.0	0.0	8.0	7.0	0.0	2.0	4.0	1.0	19.0	0.0	39.0	58.0	0.0	7.0	32.0	19.659128163621627
